backend,category,name,bytes,median_ns,p10_ns,p90_ns,iters
clr,hostapi,deviceSynchronize,0,90,90,100,5000
clr,hostapi,setDevice,0,40,40,40,5000
clr,hostapi,streamCreateDestroy,0,2811961,2746654,2879270,2000
clr,alloc,mallocFree,4096,772,752,801,1000
clr,alloc,mallocFree,1048576,771,751,801,1000
clr,alloc,mallocFree,67108864,138855,136062,142551,1000
clr,xfer,H2D,4096,20310,20040,20811,2000
clr,xfer,D2H,4096,19429,19188,19830,2000
clr,xfer,memset,4096,11387,11276,11587,2000
clr,xfer,H2D,65536,137593,137304,138596,2000
clr,xfer,D2H,65536,136843,136562,137213,2000
clr,xfer,memset,65536,11407,11326,11617,2000
clr,xfer,H2D,1048576,155401,154689,168139,2000
clr,xfer,D2H,1048576,154588,154288,155050,2000
clr,xfer,memset,1048576,11658,11587,11797,2000
clr,xfer,H2D,16777216,561360,560179,672214,200
clr,xfer,D2H,16777216,564015,563424,577575,200
clr,xfer,memset,16777216,15693,15613,16004,200
clr,xfer,H2D,268435456,4932248,4930005,4944717,200
clr,xfer,D2H,268435456,5000590,4997975,5012847,200
clr,xfer,memset,268435456,60780,60209,61301,200
hrx,hostapi,deviceSynchronize,0,60,50,60,5000
hrx,hostapi,setDevice,0,30,30,31,5000
hrx,hostapi,streamCreateDestroy,0,90,80,1792,2000
hrx,alloc,mallocFree,4096,181,80,300,1000
hrx,alloc,mallocFree,1048576,500,360,610,1000
hrx,alloc,mallocFree,67108864,781,670,891,1000
hrx,xfer,H2D,4096,78907,78106,86548,2000
hrx,xfer,D2H,4096,246415,242489,253696,2000
hrx,xfer,memset,4096,54770,54029,55813,2000
hrx,xfer,H2D,65536,104836,99838,111746,2000
hrx,xfer,D2H,65536,292152,287285,300806,2000
hrx,xfer,memset,65536,55413,54701,56383,2000
hrx,xfer,H2D,1048576,453120,437858,471078,2000
hrx,xfer,D2H,1048576,937808,925680,962264,2000
hrx,xfer,memset,1048576,66438,65197,68492,2000
hrx,xfer,H2D,16777216,6172635,6047721,6330909,200
hrx,xfer,D2H,16777216,12083053,11840023,12211573,200
hrx,xfer,memset,16777216,75842,74160,77044,200
hrx,xfer,H2D,268435456,103854193,102812521,104630994,200
hrx,xfer,D2H,268435456,189407956,189214080,192514387,200
hrx,xfer,memset,268435456,167639,159256,168960,200
