backend,category,name,bytes,median_ns,p10_ns,p90_ns,iters
c-hrx,hostapi,deviceSynchronize,0,29,20,30,5000
c-hrx,hostapi,streamCreateDestroy,0,170,160,190,2000
c-hrx,alloc,allocFree,4096,179016,171835,183643,1000
c-hrx,alloc,allocFree,1048576,786607,778464,813586,1000
c-hrx,alloc,allocFree,67108864,44126605,42840648,45246535,1000
c-hrx,alloc,streamAllocFree,4096,210542,207778,221318,200
c-hrx,alloc,streamAllocFree,1048576,824273,812274,851643,200
c-hrx,xfer,H2D,4096,101,100,110,2000
c-hrx,xfer,D2H,4096,150,150,161,2000
c-hrx,xfer,fill,4096,22784,22033,23625,2000
c-hrx,xfer,H2D,65536,1312,1292,1332,2000
c-hrx,xfer,D2H,65536,1222,1221,1232,2000
c-hrx,xfer,fill,65536,25838,24486,27220,2000
c-hrx,xfer,H2D,1048576,21983,21882,22152,2000
c-hrx,xfer,D2H,1048576,22003,21882,22203,2000
c-hrx,xfer,fill,1048576,87290,85497,89673,2000
c-hrx,xfer,H2D,16777216,746937,739176,756191,200
c-hrx,xfer,D2H,16777216,759887,742290,788469,200
c-hrx,xfer,fill,16777216,1075305,1072070,1078079,200
c-hrx,xfer,H2D,268435456,15009160,14987208,15037953,200
c-hrx,xfer,D2H,268435456,19359062,19304031,19412111,200
c-hrx,xfer,fill,268435456,16932763,16926554,16940615,200
rust,hostapi,deviceSynchronize,0,30,20,30,5000
rust,hostapi,streamCreateDestroy,0,170,170,180,2000
rust,alloc,allocFree,4096,179567,170353,184854,1000
rust,alloc,allocFree,1048576,789431,781108,816131,1000
rust,alloc,allocFree,67108864,44386062,42112559,45567253,1000
rust,alloc,streamAllocFree,4096,211373,202660,222219,200
rust,alloc,streamAllocFree,1048576,832234,821839,866705,200
rust,xfer,H2D,4096,101,100,110,2000
rust,xfer,D2H,4096,150,150,160,2000
rust,xfer,fill,4096,22193,21582,23074,2000
rust,xfer,H2D,65536,1313,1292,1342,2000
rust,xfer,D2H,65536,1222,1221,1232,2000
rust,xfer,fill,65536,25148,20490,26649,2000
rust,xfer,H2D,1048576,22003,21902,22153,2000
rust,xfer,D2H,1048576,22043,21902,22343,2000
rust,xfer,fill,1048576,86619,82282,88742,2000
rust,xfer,H2D,16777216,744264,733507,754399,200
rust,xfer,D2H,16777216,754990,743172,769562,200
rust,xfer,fill,16777216,1074834,1072431,1077759,200
rust,xfer,H2D,268435456,15037623,15010824,15072705,200
rust,xfer,D2H,268435456,19364290,19318272,19425041,200
rust,xfer,fill,268435456,16933184,16925043,16940145,200
